state_name,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
Alaska,State House District 27,6785,1807,8592,4978,0.7896880819366853,0.2103119180633147,0.5793761638733705
Alaska,State House District 28,6713,2213,8926,4500,0.7520725969079095,0.24792740309209052,0.504145193815819
Alaska,State House District 29,7418,2708,10126,4710,0.7325696227533083,0.26743037724669166,0.4651392455066166
Alaska,State House District 30,7312,2701,10013,4611,0.7302506741236393,0.26974932587636075,0.46050134824727856
Alaska,State House District 31,3475,3240,6715,235,0.5174981384959046,0.4825018615040953,0.03499627699180935
Alaska,State House District 32,3742,1883,5625,1859,0.6652444444444444,0.33475555555555553,0.3304888888888889
Alaska,State House District 33,6548,2016,8564,4532,0.7645959831854273,0.23540401681457265,0.5291919663708546
Alaska,State House District 34,5836,3759,9595,2077,0.6082334549244398,0.3917665450755602,0.2164669098488796
Alaska,State House District 35,4395,4885,9280,-490,0.4735991379310345,0.5264008620689655,-0.05280172413793105
Alaska,State House District 36,5633,3538,9171,2095,0.6142187329625995,0.3857812670374005,0.22843746592519903
Alaska,State House District 37,2208,1921,4129,287,0.5347541777670138,0.4652458222329862,0.06950835553402762
Alaska,State House District 38,1558,2028,3586,-470,0.43446737311767986,0.5655326268823201,-0.13106525376464023
Alaska,State House District 39,1690,2180,3870,-490,0.43669250645994834,0.5633074935400517,-0.12661498708010338
Alaska,State House District 40,1688,1362,3050,326,0.5534426229508197,0.4465573770491803,0.1068852459016394
Arizona,Apache County,12795,18872,32019,-6077,0.39960648365033263,0.5894000437240389,-0.18979356007370624
Arizona,Cochise County,35936,22296,58923,13640,0.6098806917502503,0.3783921388931317,0.23148855285711856
Arizona,Coconino County,27576,41504,70067,-13928,0.393566158105813,0.592347324703498,-0.19878116659768505
Arizona,Gila County,18901,8504,27648,10397,0.6836299189814815,0.30758101851851855,0.37604890046296297
Arizona,Graham County,11177,3867,15183,7310,0.7361522755713628,0.25469274846868206,0.4814595271026807
Arizona,Greenlee County,2308,954,3308,1354,0.6977025392986699,0.2883917775090689,0.40931076178960096
Arizona,La Paz County,5470,2101,7624,3369,0.7174711437565582,0.27557712486883523,0.44189401888772295
Arizona,Maricopa County,1051531,980016,2053945,71515,0.511956746650957,0.47713838491293586,0.03481836173802116
Arizona,Mohave County,85683,24081,110450,61602,0.7757627885921231,0.218026256224536,0.5577365323675871
Arizona,Navajo County,29480,20754,50706,8726,0.5813907624344259,0.40930067447639334,0.17209008795803254
Arizona,Pima County,214669,292450,513176,-77781,0.41831457433706953,0.5698824574804745,-0.15156788314340497
Arizona,Pinal County,126926,80656,209552,46270,0.6057016874093304,0.3848973047262732,0.2208043826830572
Arizona,Santa Cruz County,7699,11265,19121,-3566,0.4026463051095654,0.5891428272579886,-0.1864965221484232
Arizona,Yavapai County,99346,48717,149402,50629,0.6649576310892759,0.3260799721556606,0.33887765893361527
Arizona,Yuma County,40745,26823,68195,13922,0.5974778209546154,0.3933279565950583,0.20414986435955712
Arkansas,Arkansas County,3951,1503,5547,2448,0.71227690643591135,0.2709572742022715,0.44131963223363985
Arkansas,Ashley County,5145,1774,7030,3371,0.7318634423897582,0.2523470839260313,0.4795163584637269
Arkansas,Baxter County,16253,4341,20954,11912,0.7756514269351914,0.20716808246635487,0.5684833444688365
Arkansas,Benton County,79907,45231,128595,34676,0.6213849683113651,0.3517321824332206,0.26965278587814456
Arkansas,Boone County,13968,2854,17112,11114,0.8162692847124825,0.16678354371201495,0.6494857410004675
Arkansas,Bradley County,2213,961,3209,1252,0.6896229354939234,0.2994702399501402,0.3901526955437832
Arkansas,Calhoun County,1674,379,2092,1295,0.8001912045889101,0.18116634799235184,0.6190248565965584
Arkansas,Carroll County,7470,3812,11538,3658,0.6474258970358814,0.3303865487952851,0.31703934824059626
Arkansas,Chicot County,1658,1796,3490,-138,0.4750716332378224,0.5146131805157593,-0.03954154727793696
Arkansas,Clark County,4526,2959,7657,1567,0.5910931174089069,0.3864437769361369,0.20464934047277009
Arkansas,Clay County,3968,907,4967,3061,0.7988725588886652,0.18260519428226293,0.6162673646064022
Arkansas,Cleburne County,10595,1941,12739,8654,0.831697935473742,0.1523667477824005,0.6793311876913415
Arkansas,Cleveland County,2804,524,3374,2280,0.8310610551274452,0.15530527563722585,0.6757557794902194
Arkansas,Columbia County,5367,2466,7940,2901,0.6759445843828715,0.3105793450881612,0.3653652392947103
